Course	Title		Min Credits	Description	CourseType1	CourseType2
ECON*234	Human Resource Management	4	0	An examination of organizational policies and, practices and their influences on employee, behavior.  The individual, team, and, organizational effects of recruiting, selection,, training, development, compensation, and labor, relations strategies are analyzed.  The influence, of employment law and the psychosocial aspects of, the workplace are discussed. Prerequisite:, Economics 100 or permission of the instructor.	SB	CL
ECON*238	Poverty, Inequality, and Efficiency	4	0	An examination of the characteristics of the poor, in the United States and around the world. Current, measures of poverty and inequality are examined in, context of the trends in poverty over time and the, causes of poverty and income inequality.  The, fundamental efficiency and equity concerns of, social welfare policy are investigated.  The class, examines other key topics using real world, examples, such as poverty and race, gender,, immigration, education, and international, development strategies on extreme poverty., Prerequisite:  One micro-based or one marco-based, introduction to economics course.	CL	PD
ECON*240	Business & Managerial Economics	4	0	An exploration of the roles and responsibilities, of the corporation in society, decision-making, processes in business and other kinds of, organizations, and basic concepts used by, managers. Students examine the goals and, organizational structures of firms; strategies, for surviving in a competitive global economy;, corporate ethics; relations with employees,, investors, and other stakeholders; the regulatory, environment; and the implications of, globalization for today's managers. Business and, managerial economics draws upon a variety of, sub-disciplines, including theory of the firm,, industrial organization, corporate finance,, accounting, and international trade. Case studies, are used throughout to allow students to apply, the theories to real world situations., Prerequisite: ECON 100 and/or ECON 101., Distribution Requirements: SB.	SB	
ECON*248	Law and Economics	4	0	An investigation of the contributions of economic theory to the, core areas of the law, e.g., property, contracts, torts, civil, procedure and criminal law and procedure.  The course will , compare economic and non-economic theories of law and will, address the strengths and limitations of the economic approach., Prerequisites: One micro-based introduction to economics class.	SB	CL
ECON*250	Issues: Financing Health Care	4	0	An examination of the competing interests of the, users, providers and financers of health care.  An, exploration of reform proposals by these three, groups in terms of their economic feasibility will, be included.  Another objective will be to frame, questions of health care finance so as to better, define the appropriate methodologies for their, meaningful analysis.  Students will run through, execises in posing a well-defined question and, designing an approach to its study including data, sources and relevant relationships to be included, in the analysis.  Prerequisites: One micro-based, introduction to economics course.	IP	PD
ECON*251	International Economics	4	0	A study of international, economic relationships in theory and, practice.  The bases of an international division of labor,, international financial arrangements and agencies, balance of, payment problems, trade policies of nations, trade and, development, regional economic integration, and the multi-, national corporation are among the principal topics discussed.	QR	IP
ECON*256	Economic Development	4	0	An examination of the problems of the less developed countries, in achieving adequate economic development.  The role of , resources, human and physical; patterns of trade and , specialization; international investment and the transfer of, technology; the role of international agencies; development, strategies; and development planning are some of the principal, topics explored.	IP	CL
ECON*265	The Economy of China	4	0	An examination of the contemporary economy of, China with a focus on the transition from a, centrally planned to a market-oriented system, since 1978. Students explore how China has, achieved success in economic growth, reflect on, whether this growth is sustainable given the, unique cultural, political and social background,, and discuss interactions between the United States, and China and policy options America faces in its, relationship with China. Specific topics include, fiscal and monetary policies, trade and export, strategies, rural development, the privatization, process, social and cultural background, and the, impact of WTO accession on the current and future, economy of China.	IP	SB
ECON*280	Economics of Entrepreneurship I	4	0	A study of the economic role and principles of, entrepreneurship.  Entrepreneurship is a combinat-, ion of many disciplines including law, business, theory, history, psychology, political science,, economics, and in many instances, just plain, intuition. Topics covered include the development, of various business models, the economic impact of, antitrust laws, the social and economic implicat-, ions of "globalization," the psychology of, management, and an analysis of some current buzz-, words such as the "new economy" and "e-commerce"., Students are exposed to the disparate requirements, of taking an idea (not necessarily their own) and, creating an economically viable enterprise that, can sustain itself.	QR	SB
ECON*285	Fundamentals of Financial Accounting	4	0	Introduction to methods of recording,, classifying, and summarizing financial data., Required for the Business Economics track., Distribution Requirements: QR, SB.	QR	SB
ECON*286	Fund of Managerial Accounting	4	0	Study of the uses of accounting data to make, basic managerial decisions of the firm., Comparisons between managerial decision-making, and economic theory of the firm will be made., This course cannot be used to satisfy the, 200-level electice requirement in the Economics, major. Prerequisite: ECON 285.	QR	SB
ECON*360	Intermediate Accounting	4	0	Theory and procedures used to account for the assets,, liabilities, and equity of corporate enterprises.		
ECON*370	Cost Accounting	4	0	Methods and systems used by various enterprises to develop, estimates of costs and techniques for controlling costs of, operation.		
ECON*380	Economics of Entrepreneurship II	4	0	An exploration of the assumptions and skills, necessary to create a new business or secure, funds to expand an existing one. Students, working, with a team, produce a business plan with three, major components: an outline of a business and, its financing needs for use in approaching sources, for funding; an exercise in thinking through the, elements of the planning process, and a living, document against which to measure the progress of, the enterprise.  Topics covered include forms of, organization, sources of competitive advantage,, entry and growth strategies, technology and, personnel policies, and cash flow analysis.	QR	SB
ECON*385	Intermediate Accounting	4	0	Theory and procedures used to account for the, assets, liabilities, and equity of corporate, enterprises.  Prerequisite: ECON 286.	QR	SB
ECON*386	Cost Accounting	4	0	Methods and systems used by various enterprises, to develop estimates of costs and techniques for, controlling costs of operation.  Prerequisite:, ECON 286.	QR	SB
ECON*421	Strategic Environmental Management	4	0	Explores how companies seek profit opportunities, by reducing costs associated with environmental, impacts, and by satisfying market demand for, ecologically sound products.  Economic theories, of the firm and theories of sustainable develop-, ment provide the analytical framework.  Various, templates for building environmental management, systems are reviewed, along with the corporate, sector's progress toward sustainable business, practices.	SB	CL
ECON*426	Monetary Economics	4	0	An exploration of the role money and monetary, policy play in the domestic and external (trade), sectors of the economy.  Starting with the basics, of financial institutions, we discuss the policy, tools by which authorities monitor the supply of, liquidity.  We analyze and compare the impacts of, various policy measures in different phases of, business cycles.  Eventually we focus on the, connection between domestic monetary policy and, the balance of payments, extending the discussion, to the essentials of currency markets.  Central, Bank intervention in currency markets, the role, of expectations, speculation, and underlying, trade flows affecting currency values are, presented in a systemic context.  Prerequisite:, Economics 201.	QR	SB
ECON*427	Theory of Finance	4	0	Organized around the objective of maximizing the stockholder, wealth within a set of corporate risk-return characteristics., Major topics include financial analysis and planning, capital, budgeting, valuation and cost of capital, capital asset, pricing, and long-term financing.	QR	SB
ECON*430	The Economic Analysis of Politics	4	0	A study of the political arena through the lens, of economic analysis. Economics studies, purposeful behavior, and its tools apply not only, to market participants but also to participants, in the political process. Politicians,, bureaucrats, and voters could be viewed therefore, as self-interested individuals who do not, necessarily desire to promote the public good., The lectures and discussions include applications, of this economic theory of politics to voting,, corruption, revolutions, dictatorship, and, macroeconomic policies. Prerequisites: ECON 100, and ECON 101. Not open to first-year students., Distribution Requirements: CL, SB.	SB	CL
ECON*440	Advanced Business Economics	4	0	Application of statistical methods and economic, theory to business and managerial decision, making. The course covers a range of analytical, tools useful in solving problems that arise in, managing firms' operations. Particular examples, include regression analysis, linear programming,, forecasting, time value of money, break-even, analysis, statistical quality control, pricing,, production, demand and cost functions., Prerequisites: ECON 200, ECON 202, and ECON 240., Distribution Requirements: QR, SB.	QR	SB
ECON*441	Public Finance	4	0	An analysis of the use of resources for public purposes by, local, state, and federal levels of government, emphasizing, the rationale for public expenditures, tax structures, and, intergovernmental fiscal relations.		
ECON*448	Organizations and Contracts	4	0	An exploration of the costs of organizing economic activity., Topics include the determination of the scale and scope of the , firm, the consequences of separating control from ownership, and, the transaction costs of contracting in the marketplace.  , Theoretical work will be followed by case studies of several, industries, including aerospace, coal, oil, air traffic control,, and automobile.	SB	
ECON*451	International Business	4	0	A study of the theories of global competition and, the strategies corporations use in competing in, foreign markets. The role of multilateral, organizations such as the World Trade, Organization, the United Nations Global Compact,, and the International Chamber of Commerce is, explored. Through case studies, students learn, about the political, cultural, environmental,, legal, and ethical dilemmas that corporations, encounter when operating in foreign markets. Some, of the stylized concepts that business executives, and political economists use in analyzing the, dynamics of the global economy are discussed., Prerequisite: ECON 200 or ECON 201. Distribution, Requirements: IP.	IP	
ECON*452	Theory of Trade	4	0	An exploration of the macroeconomics of an open economy., Topics include the balance-of-payments, exchange rate markets,, and external borrowing for developing countries. The, production and consumption possibilities of trading partners, will be analyzed in a general equilibrium framework. The roles, of tariffs, trade quotas, and pegged exchange rates as, appropriate policies for the achievement of domestic and, international economic goals as well as means of international, economic cooperation will be discussed.	QR	IP
ECON*466	Introduction to Econometrics	4	0	Regression analysis, its basic assumptions, and the, consequences of the violations of those basic assumptions., Related problems such as collinearity, identification,, autocorrelation, and tests of significance are included. These, techniques are used to measure the relationships between and, among selected microeconomic and macroeconomic variables., Applied econometric research with computer usage in areas of, student interest is included.	QR	
ECON*470	The Math Approach to Economics	4	0	Mathematical development of the basics of modern economic, theory. Applications and examples are drawn from the major, fields of economics, such as international, monetary and, fiscal theory. Mathematical techniques such as calculus,, differential equations, and linear algebra are utilized.	QR	
ECON*500	Undergraduate Internships	1	4	Internship with one or more of the administrative offices of, the Meadville Medical Center. Liaison: Baskan, Students will participate in the work of one or more of the, administrative offices of a local hospital and become, generally acquainted with the relationships between the, administrators and their "constituencies". A written report is, required upon completion of the internship. Prerequisites:, three courses in economics including Economics 125 and 160 and, approval of the liaison. It is recommended that students, register for this course on a Credit/No Credit basis., Internship in Banking at PNC Bank. Liaison: Adams, Students become acquainted with the various operations of a, commercial bank. Two internships are available: 1) A general, overview of the activities of a commercial bank. The student, spends short periods in several departments such as corporate, loans, marketing, retail banking, and trust. Evaluation is, based on oral and written reports submitted to the Bank and to, the liaison. 2) A specialized internship in the Trust, Department. The completion of a project, agreed upon in, advance by the Bank and the liaison, is usually required., Prerequisites: Some acquaintance with financial statements, (such as that acquired in Economics 160), knowledge of, personal computers and (limited) word processing, and approval, by the Bank and the liaison., by the Bank and the liaison., Internship in Accounting with McGill, Power, Bell and Company, , CPA, Meadville, Pennsylvania.  Liaison: Professor Sickafuse, An accounting practisum: the student will work and study under, the direction of a practicing accountant and a member of the , Department of Economics.  Prerequisites: Economics 125 and , approval of the liaison and the accounting firm.  It is , recommended that sutdents register for the course on a credit/no, credit basis., Internship with the Meadville-Western Crawford County Area , Chamber of Commerce.  Liaison: Professor Baskan, Under the joint direction of the faculty liaison and the Director, of the Meadville-Western Crawford County Chamber of Commerce, the, student will design and execute an industrial-commercial study , project.  A written report is required upon completion of this, membership.  Prerequisites: three courses in economics and , approval of the liaison.  It is recommended that students, register for the course on a credit/no credit basis.  Credit:, variable., Internship in Investments at A.G. Edwards, A practicum in portfolio management and the business of , investments.  Students work closely with a stock broker.  Credit/, no credit registration is recommended.  Prerequisites: A , background in economics courses, ideally including Economics 226, and 427, and permission of the liaison.		
ECON*501	Meadville VITA: Tax Inernship	1	4	An experiential internship program focusing on, income tax preparation in the United States and, experiences with income taxes and the residents, of western Crawford County. Students study the, rules for income tax preparation, pass a test, about taxation designed by the IRS, and complete, software training for tax preparation. Students, complete 5-6 hours of tax preparation in the, Meadville community for 10 weeks and also, complete regular reflection exercises about their, work, their learning, and their experiences., Credit: One to four semester hours.		
ECON*529	Internship: Economics	1	4	An experiential learning seminar designed to, enable students to understand how businesses and, non-profit organizations use economic principles, to solve practical problems.  Students learn, about various careers, gain on-the-job, experience, understand the culture of the, workplace, and acquire practical skills that, prepare them for future careers.  Students are, placed as interns in a firm or organization, as, well as meet regularly with the seminar, instructor.  Credit:  One to four semester hours., Prerequisites:  Econ 100, Econ 101, and at least, two 200-level Economics courses.		
ECON*530	Internship: Business	4	0	An experiential learning seminar that focuses on, an understanding of how real-world, profit-maximizing business organizations and, not-for-profit institutions are managed. Through, regular contacts with business executives,, students are expected to acquire skills and, competencies that prepare them for career, opportunities in business, finance, accounting,, management, marketing and entrepreneurship., Students are placed as interns in various local,, regional, national, and international, organizations, and are also expected to complete, a capstone project supervised by the internship, instructor. Credit: Four semester hours., Prerequisites: ECON 100, ECON 101, and at least, two 200-level Economics courses.		
ECON*577	Topics in Banking and Finance	4	0	An examination of selected topics in banking and, finance and their relation to the macroeconomy. , Issues studied include asset price bubbles,, efficient market hypotheses, the changing nature, of banking from commercial to securitized, banking, financialization and its relation to, inequality, financial crises, regulating the, financial system, debt growth, and Minsky's, financial instability hypothesis. Students choose, topics for their senior projects. Prerequisites:, ECON 200, ECON 201, ECON 202, and permission of, the instructor. Distribution Requirements: None.		
ECON*578	Topics in Economic Development	4	0	A study of the factors and constraints, influencing economic growth and development. , Topics may include poverty and income inequality,, human capital and education policy, migration and, urbanization, the environment and sustainable, growth, and issues in international trade and, globalization.  Students choose research topics, based on their interests.  Prerequisites:, Economics 200, 201, 202, and 203.		
ECON*579	The Employment Relationship	4	0	An examination of the employee-employer, relationship through the lenses of labor and, personnel economics, human resource management, and organizational behavior. Topics may include, the economic impact of organized labor, the role, of public policy and labor market institutions,, evolution in management theory, job satisfaction, and employee motivation, and a, historical/cultural perspective of work in the, United States.		
ECON*581	Business Cycles	4	0	A survey of the historical record of business cycles in the, U.S. Methods of measuring and modeling cyclical activity are, discussed. Individual student research is then conducted on, selected business cycle models.		
ECON*582	Topics in International Economics	4	0	A study of international economic relations., Topics may include trade flows and policies,, currency markets, and the impact of trade and, globalization on output, employment, and prices in, trading countries.  Research may also focus on, international institutions such as IMF and WTO and, their roles in economic development.  Choice of, seminar paper topic is up to students based on, their interests; however, everyone is expected to, collaborate and contribute to the research of, others in the group.  Prerequisites:  Economics, 200, 201, and 202.		
ECON*584	Topics in Industrial Organization	4	0	Selected topics in the theory and application of, Industrial Organization.  Discussion and research, may include strategic interaction among firms,, levels of advertising and product differentiation,, vertical and horizontal integration, antitrust, policy, regulation, network economics, and the, development of the historical development of the, firm.  Students choose research topics to, complement their senior projects.  Prerequisites:, Econ 200 and 202.		
ECON*586	Special Topics in Labor Issues	4	0	An examination of issues in labor economics such as, discrimination, job search, information costs, and the, inflationary impacts of wage settlements.		
ECON*587	Transformation of the Global Economy	4	0	Market and non-market economies are critically, examined.  Case studies of selected countries will, be followed by comparative economic performances.		
ECON*588	Topics in Business Economics	4	0	A capstone seminar for economics majors in the , Business Economics Track. A case study format is, used to encourage integrated application of, standard economic theory and  business economics, fields (like strategic management, finance,, accounting, statistics, ethics, and technology, management) to the complexities of real strategic, management problems. Students choose case-related, research paper topics that reflect both, significant real world management questions and, applicable theoretical frameworks. Case and, research reports provide training in project, analysis and presentation, both verbal and, written, and opportunities to broaden and, integrate knowledge of the intellectual,, institutional, and historical contexts of the, business environment. Prerequisites: ECON 240 and, ECON 440.		
ECON*590	Independent Study	1	4	An independent study or research experience. The, student independently pursues a topic or project, of interest with guidance from a faculty member., Students meet one-on-one with the faculty mentor, on a regular basis and also complete independent, readings, laboratory work, or comparable, activities. Credit: One to four semester credit, hours. Prerequisite: Permission of the instructor.		
ECON*593	Peer Mentoring	1	4	Structured work to enhance learning by other, students who are enrolled in a regular course. To, receive academic credit, peer mentors are, expected, to complete assignments other than those assigned, in the course and to reflect on the, peer-leadership experience. Credit: One to four, semester credit hours. Prerequisite: permission, of, instructor.		
ECON*620	Senior Project	4	0			
EDUC*100	Introductions to Education Studies	4	0	An interdisciplinary introduction to theories of, learning, disseminating knowledge, and, contemporary issues of education. Students, examine how different cultures and individuals, have described the ideal goals and practices of, learning.  Drawing on these readings, students, develop their own pedagogical philosophy and test, it against contemporary educational policies and, trends. Students are introduced to qualitative, and quantitative research data in education., Emphasis is placed on class discussion and on, refining analytical and research skills.	CL	PD
EDUC*150	Foundations of Special Education	4	0	An introduction to teaching children with, disabilities and a survey of best practices for, working with such individuals.  Topics include, principles and practices of assessment,, instruction, curriculum design and modification,, and pupil evaluation.  Legal aspects, diversity, issues, teamwork, and family involvement are also, considered.  Field experience is provided.  The, course satisfies the Foundations of Special, Education course requirement for students planning, to pursue teaching certification for Elementary, Education in the State of Pennsylvania.	CL	PD
EDUC*160	Teaching English Language Learners	4	0	A study of the challenges of English Language, Learners (ELLs) and a survey of best practices for, teaching such individuals.  Topics include legal, responsibilities, advocacy for ELLs,, socio-cultural considerations of ELL populations,, assessment of programs, and instructional, adaptation.  Emphasis is placed on the instruction, of children in an educational setting, and field, experience is provided.  The course satisfies the, Teaching English Language course requirement for, students planning to pursue teaching certification, for Elementary Education in the State of, Pennsylvania.	CL	IP
EDUC*270	Literacy Practicum	4	0	A service-learning course conducted jointly by, Education Studies and the Crawford County, Literacy Council ("READ"). Following tutor, training, students spend at least 40 hours in, service to adult learners through the READ, Program in Meadville in supervised situations., Students submit weekly descriptions of tutoring, activities and maintain a monthly log of hours, served. Students also fulfill a series of, academic requirements that include reading and, commenting on a series of texts about literacy, and completing academic writing assignments that, explore literacy issues in more detail. This, course must be taken on a letter-grade basis and, meets weekly for one hour; tutoring times are, arranged on an individual basis. Students are, responsible for making travel arrangements to the, tutoring site.	CL	PD
EDUC*310	Multicultural Education	4	0	A study of theories, themes and guiding concepts, that frame scholarship in Multicultural, Education. Seminar discussions focus on critical, race theory, global diversity, privilege,, socio-economic status, and hip-hop pedagogy., Students participate in a community engagement, component, testing theories through observations, of actual classrooms and in interactions with, community partners in Crawford County. This, course is useful for students who are interested, in graduate programs in education, social justice, issues in K-12 education, and careers in, teaching. Prerequisites: EDUC 100 or COMJ 160., Distribution Requirements: CL, PD.	CL	PD
EDUC*510	Farm to School Internship	2	0	An internship in which students serve as, education interns to help implement a food,, agriculture, and physical activity-based, curriculum in local schools. Interns work with, community gardens and with the trail system at, the Meadville Area Recreation Complex (MARC). , Opportunities include modifying current, curriculum, writing new curriculum, conducting, classes and engaging local students. The, internship's academic component includes readings, and discussion of agricultural environmental, issues, environmental education philosophies,, nutrition education philosophies, and farm to, school education broadly. The curriculum for, local schools integrates novel and healthier, approaches to coursework, such as outdoor, classrooms and student empowerment. Interns, should therefore be prepared to participate in, particularly creative, challenging, and rewarding, educational experiences. Prerequisites: None., Distribution Requirements: None.		
EDUC*529	Internship: Education Studies	1	4	Academic study completed in support of an, internship experience with a partner institution., An Allegheny faculty member assigns and evaluates, the academic work done by the student. Credit:, One to four semester hours. Prerequisite:, permission of instructor.		
EDUC*540	Internship in Education Seminar	2	0	A seminar to support internships for students, planning to teach at the elementary, middle, school, or secondary level.  Students complete a, co-requisite two-credit internship in the local, schools at the appropriate grade level for their, interest.  The seminar integrates students', classroom experiences with educational theory and, research.  Topics such as ethics, appropriate, workplace behavior, and relationships with, supervisors and co-workers provide the focus of, the early meetings.  The rest of the semester, examines internship experiences and ethical or, practice issues.  A paper and presentation,, assessing the relationship of the student's field, experience to educational theory and research,, are required.  Prerequisite: Permission of the, instructor.  Co-requisite: Enrollment in, Education 592 or 593, or an equivalent, educational field experience.  Two semester, credit hours.		
EDUC*542	Internship Seminar	1	4	A seminar and internship experience for students, pursuing the minor in Education Studies. Students, complete an internship at a local site that, corresponds to their educational interests. The, seminar integrates students' internship, experiences with educational theory and research., Topics such as ethics, appropriate workplace, behavior, and relationships with supervisors and, coworkers provide the focus of the early, meetings. The rest of the semester examines, current education topics and ethical or practice, issues. Assignments include readings, weekly, reflections, additional professional experiences,, and a research paper and presentation that, assesses the relationship of the student's field, experience to educational theory and research., Prerequisites: EDUC 100. Distribution, Requirements: None.		
EDUC*550	Internship in Education Seminar	2	0	A seminar to support internships for students, planning to teach at the elementary, middle, school, or secondary level.  Students complete a, co-requisite two-credit internship in the local, schools at the appropriate grade level for their, interest.  The seminar integrates students', classroom experiences with educational theory and, research.  Topics such as ethics, appropriate, workplace behavior, and relationships with, supervisors and co-workers provide the focus of, the early meetings.  The rest of the semester, examines internship experiences and ethical or, practice issues.  A paper and presentation,, assessing the relationship of the student's field, experience to educational theory and research,, are required.  Prerequisite: Permission of the, instructor.  Co-requisite: Enrollment in, Education 529 or 592 or 593, or an equivalent, educational field experience.  Two semester, credit hours.		
EDUC*585	Education Capstone Seminar	4	0	An intensive interdisciplinary seminar designed, to provide upper-division Education Studies, minors with the opportunity to reflect on and, apply their diverse academic and practical, experiences in education to a specific topic., Topics may change each year and could include the, following: At-Risk Schools and Communities;, Educational Diversity: An Historical Perspective;, International Models of Education; The Challenges, of STEM Education in the U.S.; Hunger and, Learning; Teachers as Agents of Change. The, seminar is discussion-based and includes, opportunities for substantial reflection and, research. Assignments include a culminating, research project and service in the community, and/or field experience in local schools., Prerequisites: completion of Education 100,, appropriate field experience, and permission of, the instructor.		
EDUC*590	Independent Study	1	4			
EDUC*591	Group Study	1	4	Group work with faculty guidance. A group of, students meets together with a faculty member on, a, regular basis to pursue a topic in depth., Students, typically complete a set of common readings and, assignments. Prerequisite: permission of, instructor.		
ENGL*110	Reading Literature	4	0	A course in the close reading of literary texts. , Through the study of a limited number of works of, fiction, poetry, and drama, students will develop, their ability to read carefully and to understand, the relations between literary texts and a range, of historical and/or literary contexts.  The, course will also introduce students to some of, the terms, critical approaches, and research, methodologies necessary for further literary, study.  English 110/200 is a prerequisite for all, other courses in English with the exception of, 100.	HE	
ENGL*201	Studies in Early British Lit	4	0	A study of historically defined topics in British literature, written prior to 1800.  Emphasis will be on the relations among, literary works produced during the same historical period, on, the interactions between literture and culture during a , historical period, and on the changes and developments that , establish the boundaries between one period in literary history, and another.  Sample topics: Self and Society in the Middle Ages,, Early Modern Narrative, Renaissance and Restoration Comedy.	HE	
ENGL*202	Studies in Later British Lit	4	0	A study of historically-defined topics in British literature, written after 1800.  Emphasis will be on the relations among , literary works produced during the same historical period, on, the interactions between literature and culture during a , historical period, and on the changes and developments that , establish the boundaries between one period in literary history, and another.  Sample topics: From Romantic to Victorian , Literature, British Literature of the Two World Wars, The , Twentieth-Century British Novel.	HE	
ENGL*203	Studies in American Literature	4	0	A study of historically-defined topics in American literature., Emphasis will be on the relations among literary works produced, during the same historical period, on the interactions between, literature and culture during a historical period, and on the, changes and developments that establish the boundaries between, one period in literary history and another.  Sample topics:, Fiction, Realism and Naturalism.	HE	
ENGL*204	Studies in African American Literature	4	0	An examination of African American literature, that emphasizes the relations among works, produced during a specific historical period and, the changes and developments that establish, boundaries between periods in literary history. , This will be an interactive discussion course, with some short lectures. Students will be graded, on short answer and essay exams and formal paper, assignments as well as on class participation. , Distribution Requirements:  HE, PD.	HE	PD
ENGL*205	Writing Fiction	4	0	Study of the craft of fiction through the, critical examination of both professional and, student work. Emphasis will be on the creative, process through the exploration of plot, structure, language, voice, setting, and, characterization.	ME	HE
ENGL*206	Writing Poetry	4	0	Study of the craft of poetry through the reading, and writing of poems and through critical, examination of both professional and student, work. Emphasis will be on the creative process, through the exploration of structure, language,, and quality of observation.	ME	HE
ENGL*209	Literature About the Environment	4	0	A comparative study of the environmental, imagination as expressed in literature.  Of, primary concern are questions of style,, narrative,, and representation in light of larger social,, ethical, and political concerns about the natural, world.  In contrast to environmental philosophy, or policy, the emphasis in this course is on the, form of expression as well as the ideas, presented., Authors studied may include Ralph Waldo Emerson,, Dogen, John Muir, W.E.B. DuBois, Rainer Maria, Rilke, Mary Austin, Wang Wei, Annie Dillard, Jack, Kerouac, and Alice Walker.  Required for the, Environmental Writing Track.	HE	CL
ENGL*210	Writing Nonfiction	4	0	A study of the craft of creative nonfiction, through reading and writing of creative, nonfiction and through critical examination of, both professional and student work.  Areas within, creative nonfiction that may be considered, include: the personal essay, environmental, writing, travel writing, food writing, and, memoir. Emphasis is on the creative process, through the exploration of structure, language,, narrative devices, and quality of observation., Prerequisites: English 110.	ME	HE
ENGL*211	Women and Literature	4	0	An introduction to literature by women and/or, representing women's experience.  This course, also explores feminist approaches to literature, and provides critical and historical perspectives, on the relationships between women and, literature., Specific genres and time periods studied may, vary., Authors considered may include Amelia Lanyer,, Aphra Behn, Jane Austen, the Brontes, Emily, Dickenson, Virginia Woolf, and Toni Morrison.	HE	PD
ENGL*212	Shakespeare	4	0	A study of selected comedies, histories, and, tragedies, with some, emphasis on their cultural context and, performance possibilities.	HE	
ENGL*301	Forms of Fiction	4	0	The close study of some form or forms of prose, fiction.  Specific, topics will vary and may include the following:, The Short Story,, Arthurian Romance, The Novel of Development,, Realist Fiction.	HE	
ENGL*302	Forms of Poetry	4	0	The close study of some form or forms of poetry. , Specific topics will vary and may include the, following: The Epic Tradition, , forms of the Lyric, Confessional Poetry.	HE	
ENGL*303	Forms of Drama: Modern	4	0	The close study of some form or forms of drama., Specific topics will vary and may include the, following: Early English Theater, Modern Drama,, Medieval Drama, Forms of Tragedy.	HE	
ENGL*305	Forms of Nonfiction:Stranger Then Fictn	4	0	A course devoted to the close study of some form, or forms of , literary nonfiction.  Specific topics will vary, and may include, the following:  Autobiography, Travel Literature,, Creative, Nonfiction, Traditions of the Essay.	HE	
ENGL*311	Chaucer	4	0	A study of the poetry of Geoffrey Chaucer,, including "The Canterbury Tales" and possibly, including "Troilus and Criseyde" and shorter, works.  The course will examine Chaucer's, responses, to the literary, social, and religious, conventions of the 14th century.  It is, recommended that students take English 201 prior, to taking this course.	HE	
ENGL*313	Study in a Major Author	4	0	The study of works by a single major British,, American, or other, Anglophone author.  The focus of the course will, vary with each, offering; John Milton, William Faulkner, Toni, Morrison, and , Nadine Gordimer are representative of the kind of, figure who, might be selected for study.	HE	
ENGL*321	Lit of Diversity in North America	4	0	A concentrated exploration of literary, cultural,, and theoretical traditions in English or, translation that exist alongside the dominant, Euro-U.S. tradition.  Literatures may include, Asian American, Native American, Caribbean,, Border, LBGTQ, Disability, and Working Class, literatures.  Prerequisite:  English 110.	IP	PD
ENGL*322	Advanced Studies in African-American Lit	4	0	A concentrated exploration of a particular, period, genre, or theme in the African American, literary tradition. Topics range from Slave, Narrative to the Harlem Renaissance to Black Arts, Poetry and Drama. Prerequisite: ENGL 110 or, permission of the instructor. Distribution, Requirements: HE, PD.	HE	PD
ENGL*323	Global Literature	4	0	An exploration of literature beyond England and, the United States, much of it in translation.  Of, primary concern are questions of geography,, politics, and history.  We may focus on one, particular region or country or employ a, theme-based approach to compare several, traditions.  Topics may include the literature of, exile, South African fiction, Eastern European, poetry, Magical Realism, Caribbean literature,, the problem of censorship, tradition and, innovation in African drama, and contemporary, Indian literature. Prerequisite:  English 110.	HE	IP
ENGL*324	Latino/A Literature	4	0	A concentrated exploration of the literature in, English of U.S. Latino/a writers and Latin, American writers.  Central concerns include the, construction of Latino/a identity alongside, questions of acculturation and assimilation,, gender, race, family, and national affiliations,, language, and class.  We may focus on writers who, represent specific immigrant and, second-generation, experiences, or we may survey similarities and, differences among writers who span several, decades, and traditions.  Prerequisite:  English 110.	HE	PD
ENGL*350	Children's Literature	4	0	A study of children's literature, with focus on, its cultural and theoretical underpinnings. , Among, the conerns addressed may be the definitions of, "childhood" and "adolescence" the genre helps, construct or undermine; the impact children's, literature can have on notions of gendered,, ethnic, class, & national identity; the formal variations, of archetypal tales; the genre's role in author's, careers.  Specific topics may include fairy tales, (their cultural history and contemporary trans-, formations); multicultural children's literature;, the contemporary young adult novel; and, children's, verse.  Prerequisites: English 110 or permission, of the instructor.	HE	PD
ENGL*371	Politics and Literature	4	0	A team-taught course that examines the inter-, section of politics and literature in a given, situation.  While the specific topic may change, from year to year, the course seeks to transcend, the disciplinary borders between Political, Science, and English by exploring the vital connections, between "system" and "story" at a given, historical, moment.  The course may be taken for credit in, either Political Science or English., Prerequisite: Permission of the instructors.	HE	PD
ENGL*380	Literary Theory	4	0	Am examination of 20th-century theories of, literature and criticism organized around essays, from the fields of literary criticism, critical, theory, and cultural studies.  Critical, "schools" studied might include Structurallism,, Post-Structuralism, Reader-Response Criticism,, New Historicism, Marxist Criticism, and Feminist, Criticism. Prerequisities: English 200 (or, English 110) and at least 3 additional English, classes or permission of the instructor.	HE	SB
ENGL*385	Cultural History of the English Language	4	0	An inquiry into the nature of the English, language, its origins and evolution, with an emphasis on, the, social, political, and cultural dynamics involved, in language change.	PD	IP
ENGL*400	Adv Fiction Writing Workshop	4	0	An advanced study of the craft of fiction through, the reading and writing of short stories and/or, novellas and novels. Attention focuses on the, writing, re-writing, and criticism of longer, works.  Prerequisites: English 110 (or English, 200), English 205, and permission of the, instructor.	ME	HE
ENGL*401	Adv Poetry Writing Workshop	4	0	An advanced study of the craft of poetry through, writing, reading, and responding to poems. , Emphasis will be on prosody, on developing voice, and subject through an examination of poetic, devices, and on creating thematic unity both in, individual poems and in the group of poems each, student is expected to produce by the semester's, end.  Prerequisites: English 110 (or English, 200), English 206, and permission of the, instructor.	ME	HE
